Label2,Xmm,Ymm,Zmm
X: anteroposterior coordinate (lat image); Y: laterolateral coordinate (ap image); Z: craniocaudal coordinate (shared)T1_Plat_Sup_G,142.47221063592528,189.048602,114.79231999999999
T1_Plat_Sup_D,141.64506519964598,168.959946,112.99869
T1_Plat_Sup_Ant,139.365051,179.73805959350585,123.222381
T1_Plat_Sup_Post,155.14899499999999,179.6076864265747,114.433594
T1_Plat_Inf_G,146.95008937994385,193.35331399999998,129.14136
T1_Plat_Inf_D,145.66030476031494,165.372686,126.450915
T1_Plat_Inf_Ant,142.593585,179.58794817651366,132.011168
T1_Plat_Inf_Post,172.009117,179.3540449869385,122.684292
T1_Centroid_G,149.92851796624754,187.613698,118.558943
T1_Centroid_D,150.64439353363036,169.318672,118.91766899999999
T2_Plat_Sup_G,148.3184000493164,195.50566999999998,129.500086
T2_Plat_Sup_D,147.19657118811034,164.655234,128.782634
T2_Plat_Sup_Ant,142.952311,180.4962142078857,135.419065
T2_Plat_Sup_Post,174.520199,179.63132196838382,125.01601099999999
T2_Plat_Inf_G,156.28178225738526,197.119937,144.028489
T2_Plat_Inf_D,155.21562117297364,163.22033,144.207852
T2_Plat_Inf_Ant,149.588742,181.2358238441162,147.436386
T2_Plat_Inf_Post,182.05344499999998,180.39894612591553,140.79995499999998
T2_Centroid_G,160.8898261668091,190.30414299999998,132.369894
T2_Centroid_D,160.83016257122802,169.856761,131.652442
T3_Plat_Sup_G,158.77622413531495,198.016752,145.642756
T3_Plat_Sup_D,157.61611204589843,163.22033,146.539571
T3_Plat_Sup_Ant,152.637913,181.44409905621336,153.893454
T3_Plat_Sup_Post,182.770897,180.74831205725098,143.311037
T3_Plat_Inf_G,167.78961994091796,200.169108,162.323515
T3_Plat_Inf_D,167.0215469379883,164.117145,160.888611
T3_Plat_Inf_Ant,158.915618,181.51027638378906,164.834597
T3_Plat_Inf_Post,187.075609,180.0232953701782,157.121988
T3_Centroid_G,172.76530107360838,192.27713599999998,150.844283
T3_Centroid_D,172.86872162176513,169.498035,152.09982399999998
T4_Plat_Sup_G,169.69679687915038,200.169108,165.01396
T4_Plat_Sup_D,169.47852664636227,166.269501,163.040967
T4_Plat_Sup_Ant,161.42669999999998,181.0031029790039,165.910775
T4_Plat_Sup_Post,186.17879399999998,180.447016373291,158.736255
T4_Plat_Inf_G,178.14062976965334,198.734204,182.05344499999998
T4_Plat_Inf_D,177.06123321972655,161.067974,180.080452
T4_Plat_Inf_Ant,168.780583,180.01981408148194,183.308986
T4_Plat_Inf_Post,192.456499,178.95233930322266,175.77573999999998
T4_Centroid_G,185.9451097593994,192.27713599999998,169.318672
T4_Centroid_D,185.8026177667236,169.498035,165.372686
T5_Plat_Sup_G,179.49237694909667,197.837389,191.38032099999998
T5_Plat_Sup_D,178.83477465130613,156.763262,187.434335
T5_Plat_Sup_Ant,167.704405,179.49575971075438,192.097773
T5_Plat_Sup_Post,197.47866299999998,178.99829669299316,184.564527
T5_Plat_Inf_G,184.6310436984863,200.707197,202.500827
T5_Plat_Inf_D,184.1656019682617,156.404536,201.245286
T5_Plat_Inf_Ant,173.264658,176.28650416796876,205.72936099999998
T5_Plat_Inf_Post,200.88656,175.96856836193848,200.88656
T5_Centroid_G,197.02854769799805,191.20095799999999,189.586691
T5_Centroid_D,196.67759438659667,165.731412,187.075609
T6_Plat_Sup_G,185.55649722436522,195.50566999999998,207.88171699999998
T6_Plat_Sup_D,185.51802788952637,159.63307,204.294457
T6_Plat_Sup_Ant,172.367843,175.77166754907225,208.240443
T6_Plat_Sup_Post,201.424649,175.87823001501462,202.859553
T6_Plat_Inf_G,188.45494375024413,191.38032099999998,227.970373
T6_Plat_Inf_D,188.13792752990722,155.866447,224.562476
T6_Plat_Inf_Ant,173.623384,174.14114358770752,224.38311299999998
T6_Plat_Inf_Post,205.011909,173.56549389111328,222.589483
T6_Centroid_G,204.14366684118653,189.407328,211.64834
T6_Centroid_D,203.575866465332,164.655234,207.343628
T7_Plat_Sup_G,188.7541594189453,191.38032099999998,230.840181
T7_Plat_Sup_D,188.62191423828125,156.404536,226.535469
T7_Plat_Sup_Ant,175.058288,173.41071886096194,225.818017
T7_Plat_Sup_Post,204.47382,172.95765869525147,225.459291
T7_Plat_Inf_G,189.2511516964111,186.716883,247.341577
T7_Plat_Inf_D,189.44295099816895,154.969632,246.624125
T7_Plat_Inf_Ant,172.905932,172.0884531609497,244.651132
T7_Plat_Inf_Post,202.859553,171.58918381414796,247.162214
T7_Centroid_G,207.1512594309082,183.667712,232.992537
T7_Centroid_D,207.1998004185791,162.323515,230.660818
T8_Plat_Sup_G,188.92855227722168,186.716883,248.776481
T8_Plat_Sup_D,189.43925076049806,156.404536,248.597118
T8_Plat_Sup_Ant,171.65039099999998,171.46210582928467,246.98285099999998
T8_Plat_Sup_Post,202.321464,171.09437007897947,248.776481
T8_Plat_Inf_G,188.06179897143554,185.281979,268.865137
T8_Plat_Inf_D,188.46946006726074,152.45855,269.223863
T8_Plat_Inf_Ant,169.139309,170.72353620068358,265.815966
T8_Plat_Inf_Post,199.63101899999998,169.5639605362549,268.327048
T8_Centroid_G,207.75034761523438,180.439178,256.48909
T8_Centroid_D,208.1606798885498,159.27434399999999,256.668453
